evidence_id,car_id,car_code,theme,source_name,source_url,download_date,source_version,geometry_operation,area_ha,percent_of_property,confidence,interpretation,limitation,created_at
EV-CAR02-UC-002,CAR_02,PR4109401014658F643104BEAAF9A030A42F1D57A,unidades_conservacao,ICMBio / CNUC,https://dadosabertos.mma.gov.br/,2026-06-14,,intersection,151.7788,94.4212,Alta,Sobreposição de 151.78 ha (94.42%) com Unidades de Conservação.,,2026-06-14T20:50:56.999511+00:00
EV-CAR02-UC-003,CAR_02,PR4109401014658F643104BEAAF9A030A42F1D57A,unidades_conservacao,ICMBio / CNUC,https://dadosabertos.mma.gov.br/,2026-06-14,,intersection,83.1866,51.7502,Alta,Sobreposição de 83.19 ha (51.75%) com Unidades de Conservação.,,2026-06-14T20:50:57.028436+00:00
EV-CAR04-UC-002,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,unidades_conservacao,ICMBio / CNUC,https://dadosabertos.mma.gov.br/,2026-06-14,,intersection,2233.5984,24.8842,Alta,Sobreposição de 2233.60 ha (24.88%) com Unidades de Conservação.,,2026-06-14T20:50:57.056360+00:00
EV-CAR02-DESM-002,CAR_02,PR4109401014658F643104BEAAF9A030A42F1D57A,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,10.8268,6.7353,Alta,Sobreposição de 10.83 ha (6.74%) com Desmatamento.,,2026-06-14T20:50:58.074919+00:00
EV-CAR04-DESM-002,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,34.3874,0.3831,Alta,Sobreposição de 34.39 ha (0.38%) com Desmatamento.,,2026-06-14T20:50:58.093850+00:00
EV-CAR04-DESM-003,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,14.9838,0.1669,Alta,Sobreposição de 14.98 ha (0.17%) com Desmatamento.,,2026-06-14T20:50:58.116812+00:00
EV-CAR04-DESM-004,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,7.2472,0.0807,Alta,Sobreposição de 7.25 ha (0.08%) com Desmatamento.,,2026-06-14T20:50:58.138410+00:00
EV-CAR04-DESM-005,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,10.7486,0.1197,Alta,Sobreposição de 10.75 ha (0.12%) com Desmatamento.,,2026-06-14T20:50:58.160843+00:00
EV-CAR04-DESM-006,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,7.4235,0.0827,Alta,Sobreposição de 7.42 ha (0.08%) com Desmatamento.,,2026-06-14T20:50:58.182782+00:00
EV-CAR04-DESM-007,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,76.5251,0.8526,Alta,Sobreposição de 76.53 ha (0.85%) com Desmatamento.,,2026-06-14T20:50:58.203726+00:00
EV-CAR04-DESM-008,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,2.1692,0.0242,Alta,Sobreposição de 2.17 ha (0.02%) com Desmatamento.,,2026-06-14T20:50:58.224943+00:00
EV-CAR04-DESM-009,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,4.3692,0.0487,Alta,Sobreposição de 4.37 ha (0.05%) com Desmatamento.,,2026-06-14T20:50:58.247854+00:00
EV-CAR04-DESM-010,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,0.7882,0.0088,Alta,Sobreposição de 0.79 ha (0.01%) com Desmatamento.,,2026-06-14T20:50:58.268826+00:00
EV-CAR04-DESM-011,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,11.6641,0.1299,Alta,Sobreposição de 11.66 ha (0.13%) com Desmatamento.,,2026-06-14T20:50:58.286687+00:00
EV-CAR04-DESM-012,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,20.2282,0.2254,Alta,Sobreposição de 20.23 ha (0.23%) com Desmatamento.,,2026-06-14T20:50:58.305636+00:00
EV-CAR04-DESM-013,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,44.8341,0.4995,Alta,Sobreposição de 44.83 ha (0.50%) com Desmatamento.,,2026-06-14T20:50:58.326553+00:00
